Image Name,length,surface,volume,convexhull_area,diameter,root_name,Spaceflight Treatment,Illumination trestment 2,Petri dish,Ecotype/Genotype,Age,Age #
Fl_Dark_Plate1_WS_day11.rsml,3.035,0.458,0.007,0,0.051,root_5,Fl,Dark,Plate1,WS,day11,11
Fl_Dark_Plate1_WS_day11.rsml,3.056,0.393,0.006,0,0.049,root_4,Fl,Dark,Plate1,WS,day11,11
Fl_Dark_Plate1_WS_day11.rsml,5.079,0.7,0.008,0,0.044,root_3,Fl,Dark,Plate1,WS,day11,11
Fl_Dark_Plate1_WS_day11.rsml,4.237,0.596,0.007,0,0.047,root_2,Fl,Dark,Plate1,WS,day11,11
Fl_Dark_Plate1_WS_day11.rsml,3.734,0.598,0.009,0,0.058,root_1,Fl,Dark,Plate1,WS,day11,11
Fl_Dark_Plate2_Col_day11.rsml,3.375,0.458,0.005,0,0.045,root_4,Fl,Dark,Plate2,Col,day11,11
Fl_Dark_Plate2_Col_day11.rsml,3.232,0.392,0.004,0,0.045,root_3,Fl,Dark,Plate2,Col,day11,11
Fl_Dark_Plate2_Col_day11.rsml,3.398,0.633,0.011,0,0.063,root_2,Fl,Dark,Plate2,Col,day11,11
Fl_Dark_Plate2_Col_day11.rsml,5.754,0.74,0.008,0,0.043,root_1,Fl,Dark,Plate2,Col,day11,11
Fl_Dark_Plate2_Col_day11.rsml,2.354,0.429,0.008,0,0.064,root_0,Fl,Dark,Plate2,Col,day11,11
Fl_Dark_Plate3_Phy_day11.rsml,3.958,0.718,0.013,0,0.062,root_5,Fl,Dark,Plate3,Phy,day11,11
Fl_Dark_Plate3_Phy_day11.rsml,1.918,0.321,0.009,0,0.062,root_4,Fl,Dark,Plate3,Phy,day11,11
Fl_Dark_Plate3_Phy_day11.rsml,3.381,0.464,0.006,0,0.047,root_3,Fl,Dark,Plate3,Phy,day11,11
Fl_Dark_Plate3_Phy_day11.rsml,3.168,0.461,0.006,0,0.05,root_2,Fl,Dark,Plate3,Phy,day11,11
Fl_Dark_Plate3_Phy_day11.rsml,4.652,0.691,0.009,0,0.05,root_1,Fl,Dark,Plate3,Phy,day11,11
Fl_Dark_Plate4_WS_day11.rsml,3.027,0.362,0.004,0,0.036,root_5,Fl,Dark,Plate4,WS,day11,11
Fl_Dark_Plate4_WS_day11.rsml,3.571,0.477,0.006,0,0.042,root_4,Fl,Dark,Plate4,WS,day11,11
Fl_Dark_Plate4_WS_day11.rsml,2.038,0.256,0.003,0,0.041,root_3,Fl,Dark,Plate4,WS,day11,11
Fl_Dark_Plate4_WS_day11.rsml,2.018,0.312,0.005,0,0.055,root_2,Fl,Dark,Plate4,WS,day11,11
Fl_Dark_Plate4_WS_day11.rsml,4.001,0.643,0.009,0,0.051,root_1,Fl,Dark,Plate4,WS,day11,11
Fl_Dark_Plate5_Col_day11.rsml,4.304,0.411,0.004,0,0.036,root_5,Fl,Dark,Plate5,Col,day11,11
Fl_Dark_Plate5_Col_day11.rsml,2.605,0.441,0.007,0,0.054,root_4,Fl,Dark,Plate5,Col,day11,11
Fl_Dark_Plate5_Col_day11.rsml,3.167,0.362,0.004,0,0.04,root_3,Fl,Dark,Plate5,Col,day11,11
Fl_Dark_Plate5_Col_day11.rsml,3.077,0.456,0.006,0,0.048,root_2,Fl,Dark,Plate5,Col,day11,11
