OSD-id	hits	public_release_date	public_release_date_year	technology_platform	technology_type	measurement_type	OrganismCount	Organism	Factors
OSD-1	1	11-Dec-2013	2013	Affymetrix	DNA microarray	transcription profiling	1	Drosophila melanogaster	Spaceflight;Infection
OSD-2	1	01-Apr-2011	2011	Agilent	DNA microarray	transcription profiling	1	Homo sapiens	Ionizing Radiation;Absorbed Radiation Dose
OSD-3	1	01-Sep-2011	2011	Affymetrix	DNA microarray	transcription profiling	1	Drosophila melanogaster	Developmental Stage;Spaceflight;Cosmic Radiation
OSD-4	1	10-Mar-2010	2010	Affymetrix	DNA microarray	transcription profiling	1	Mus musculus	Spaceflight
OSD-5	1	09-Feb-2006	2006	Affymetrix	DNA microarray	transcription profiling	1	Homo sapiens	simulated microgravity
OSD-6	1	29-Nov-2007	2007	Affymetrix	DNA microarray	transcription profiling	1	Rattus norvegicus	Ionizing Radiation
OSD-7	1	04-Oct-2013	2013	Affymetrix	DNA microarray	transcription profiling	1	Arabidopsis thaliana	Spaceflight;Organism Part
OSD-8	1	1-Jan-2012	2012	Agilent	DNA microarray	transcription profiling	1	Arabidopsis thaliana	Treatment;Altered Gravity;Magnetic Field
OSD-9	1	01-Apr-2007	2007	Compugen	DNA microarray	transcription profiling	1	Homo sapiens	Irradiated
OSD-11	1	13-Sep-2007	2007	Sidney Kimmel Cancer Center non-commercial	DNA microarray	transcription profiling	1	Salmonella enterica	Spaceflight
OSD-12	1	Jul-07-2007	2007		DNA microarray	transcription profiling	1	Saccharomyces cerevisiae	environmentalstress;generation
OSD-13	1	21-Jun-2012	2012	Affymetrix	DNA microarray	transcription profiling	1	Homo sapiens	Treatment;Microgravity Simulation;Spaceflight
OSD-14	1	29-Jul-2010	2010	Affymetrix	DNA microarray	transcription profiling	1	Pseudomonas aeruginosa	Microgravity Simulation
OSD-15	1	28-Jun-2011	2011	Affymetrix	DNA microarray	transcription profiling	1	Pseudomonas aeruginosa	Spaceflight;Cosmic Radiation
OSD-16	1	Mar-24-2015	2015	iTRAQ	mass spectrometry	protein expression profiling	1	Arabidopsis thaliana	spaceflight;organism part;gravity
OSD-17	1	08-Mar-2012	2012	Affymetrix	DNA microarray	transcription profiling	1	Arabidopsis thaliana	Spaceflight;Organism Part;Cosmic Radiation
OSD-18	1	07-Apr-2010	2010	Agilent	DNA microarray	transcription profiling	1	Mus musculus	treatment group
OSD-19	1	10-Mar-2004	2004		DNA microarray	transcription profiling	1	Rattus norvegicus	Hindlimb Unloading;Treatment
OSD-20	1	01-Nov-2013	2013	spotted DNA/cDNA	DNA microarray	transcription profiling	1	Candida albicans	Microgravity;absorbed radiation dose
OSD-21	1	28-Dec-2008	2008	Affymetrix	DNA microarray	transcription profiling	1	Mus musculus	Spaceflight;Cosmic Radiation
OSD-22	1	17-Sep-2017	2017	Agilent	DNA microarray	transcription profiling	1	Arabidopsis thaliana	soil environment exposure;Time;Genotype
OSD-25	1	29-Oct-2015	2015	Affymetrix	DNA microarray	transcription profiling	1	Mus musculus	Spaceflight;Cosmic Radiation
OSD-26	1	01-Dec-2012	2012	Roche	amplicon sequencing assay	metagenome profiling	1	cellular organisms	Sample Location;Spaceflight
OSD-27	1	01-Jul-2010	2010	Affymetrix	DNA microarray	transcription profiling	1	Drosophila melanogaster	Time;Sex;Temperature;Altered Gravity Simulator
OSD-28	1	Jun-01-2012	2012	Agilent	DNA microarray	transcription profiling	1	Bacillus subtilis	environment exposure;gravitation
OSD-29	1	15-Oct-2010	2010	Affymetrix	DNA microarray	transcription profiling	1	Mus musculus	Spaceflight;Treatment;Altered Gravity
OSD-30	1	13-Jun-2008	2008		DNA microarray	transcription profiling	1	Mus musculus	Microgravity Simulation
OSD-31	1	Jul-02-2009	2009	SCKCEN Genomic Platform	DNA microarray	transcription profiling	1	Rhodospirillum rubrum	gravitation
OSD-32	1	07-AUG-2008	2008		DNA microarray	transcription profiling	1	Mus musculus	hindlimb unloading
