OSD-id	hits	public_release_date	public_release_date_year	technology_platform	technology_type	measurement_type	OrganismCount	Organism	Factors
OSD-33	1	13-SEP-2012	2012	CustomArray	DNA microarray	transcription profiling	1	Mus musculus	spaceflight;cage;gravity
OSD-34	1	26-Jun-2013	2013	Affymetrix	DNA microarray	transcription profiling	1	Drosophila melanogaster	Age;Sex;Temperature;Altered Gravity;Ground Based Facility
OSD-35	1	31-Mar-2012	2012		DNA microarray	transcription profiling	1	Caenorhabditis elegans	Altered Gravity;Spaceflight
OSD-36	1	01-Jul-2010	2010	Affymetrix	DNA microarray	transcription profiling	1	Drosophila melanogaster	Altered Gravity;Treatment;Spaceflight;Altered Gravity Simulator
OSD-37	1	01-Nov-2015	2015	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Arabidopsis thaliana	Spaceflight;Ecotype
OSD-38	2	01-Nov-2015	2015	LTQ-Orbitrap Velos Pro	mass spectrometry	protein expression profiling	1	Arabidopsis thaliana	Spaceflight;Sample Preservation Method
OSD-38	2	01-Nov-2015	2015	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Arabidopsis thaliana	Spaceflight;Sample Preservation Method
OSD-39	1	30-Jun-2009	2009		DNA microarray	transcription profiling	1	Rhodospirillum rubrum	spaceflight;gravity
OSD-40	1	Jun-30-2010	2010		DNA microarray	transcription profiling	1	Caenorhabditis elegans	temperature
OSD-41	1	Jun-29-2012	2012	Agilent	DNA microarray	transcription profiling	1	Caenorhabditis elegans	gravity
OSD-42	1	14-Oct-2011	2011		DNA microarray	transcription profiling	1	Caenorhabditis elegans	Spaceflight
OSD-43	1	06-Sep-2012	2012	Affymetrix	DNA microarray	transcription profiling	1	Escherichia coli	Microgravity Simulation
OSD-44	1	15-Sep-2015	2015	Affymetrix	DNA microarray	transcription profiling	1	Arabidopsis thaliana	Genotype;Spaceflight;Cosmic Radiation
OSD-45	1	Jul-31-2012	2012		DNA microarray	transcription profiling	1	Arabidopsis thaliana	age;simulated microgravity;timepoint
OSD-46	1	18-Sep-2014	2014		DNA microarray	transcription profiling	1	Arabidopsis thaliana	Ionizing Radiation;Duration;Time after treatment;Genotype;Age;Absorbed Radiation Dose
OSD-47	4	15-Dec-2015	2015	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight
OSD-47	4	15-Dec-2015	2015	LTQ Orbitrap Velos(Thermo Scientific)	mass spectrometry	protein expression profiling	1	Mus musculus	Spaceflight
OSD-47	4	15-Dec-2015	2015	Illumina	Whole Genome Bisulfite Sequencing	DNA methylation profiling	1	Mus musculus	Spaceflight
OSD-47	4	15-Dec-2015	2015	 Pannoramic Scan (3D Histech)	Microscopy	Molecular Cellular Imaging	1	Mus musculus	Spaceflight
OSD-48	5	15-Dec-2015	2015	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight;Dissection Condition
OSD-48	5	15-Dec-2015	2015	Orbitrap Fusion(Thermo Scientific)	mass spectrometry	protein expression profiling	1	Mus musculus	Spaceflight;Dissection Condition
OSD-48	5	15-Dec-2015	2015	pannoramic scan (3d histech)	Microscopy	Molecular Cellular Imaging	1	Mus musculus	Spaceflight;Dissection Condition
OSD-48	5	15-Dec-2015	2015	Illumina	Whole Genome Bisulfite Sequencing	DNA methylation profiling	1	Mus musculus	Spaceflight;Dissection Condition
OSD-48	5	15-Dec-2015	2015	Illumina	Whole Transcriptome Bisulfite Sequencing	RNA methylation profiling	1	Mus musculus	Spaceflight;Dissection Condition
OSD-49	3	04-Feb-2016	2016	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Sample Preservation Method;Time of Sample Collection After Treatment;Sample Storage Time
OSD-49	3	04-Feb-2016	2016	LTQ Orbitrap Velos(Thermo Scientific)	mass spectrometry	protein expression profiling	1	Mus musculus	Sample Preservation Method;Time of Sample Collection After Treatment;Sample Storage Time
OSD-49	3	04-Feb-2016	2016	Illumina	nucleotide sequencing	DNA methylation profiling	1	Mus musculus	Sample Preservation Method;Time of Sample Collection After Treatment;Sample Storage Time
OSD-50	1	21-Mar-2016	2016	Affymetrix	DNA microarray	transcription profiling	1	Mus musculus	Spaceflight;Cosmic Radiation
OSD-51	1	10-Sep-2010	2010		DNA microarray	transcription profiling	1	Homo sapiens	Tissue;Bed Rest;Exercise;Nutrition
OSD-52	1	20-Jan-2013	2013	Affymatrix	DNA microarray	transcription profiling	1	Homo sapiens	Spaceflight
OSD-53	1	15-Oct-2013	2013	BD Biosciences Clontech	DNA microarray	transcription profiling	1	Homo sapiens	Spaceflight;Sex;Study Subject;Time
OSD-54	1	05-Feb-2014	2014		DNA microarray	transcription profiling	1	Homo sapiens	Treatment;Treatment Duration;Microgravity;Absorbed Radiation Dose
OSD-55	1	17-Jul-2014	2014		DNA microarray	transcription profiling	1	Homo sapiens	Simulated Microgravity;Individual
OSD-56	1	17-Jul-2014	2014		DNA microarray	transcription profiling	1	Homo sapiens	simulated microgravity;individual
OSD-57	1	21-Mar-2016	2016	GS FLX Titanium Series system (454 Life Sciences)	nucleotide sequencing	transcription profiling	1	Ceratopteris richardii	treatment
OSD-58	1	08-Jun-2016	2016	Illumina	nucleotide sequencing	deletion pool profiling	1	Saccharomyces cerevisiae	culture media;space flight;zygosity;generation number
OSD-59	1	12-May-2014	2014	Illumina Genome Analyzer IIx	RNA Sequencing (RNA-Seq)	transcription profiling	1	Brassica rapa	Spaceflight
OSD-60	1	27-Feb-2015	2015	Agilent	DNA microarray	transcription profiling	1	Danio rerio	hypergravity
OSD-61	1	31-Dec-2014	2014	Affymetrix	DNA microarray	transcription profiling	1	Mus musculus	Spaceflight;Genotype
OSD-62	1	24-Dec-2014	2014	Affymetrix	DNA microarray	transcription profiling	1	Saccharomyces cerevisiae	Spaceflight;Genotype
OSD-63	1	27-Nov-2009	2009	Affymetrix	DNA microarray	transcription profiling	1	Rattus norvegicus	Tissue Type;Spaceflight;Developmental Condition;Hypergravity;Cosmic Radiation
OSD-64	1	08-Jul-2016	2016	Illumina, PacBio	nucleotide sequencing	genome sequencing	1	Bacillus	Spaceflight
OSD-65	1	07-Jul-2016	2016	Illumina	nucleotide sequencing	environmental gene survey	1	cellular organisms	spaceflight
OSD-66	1	07-JUL-2016	2016	Life Tech	nucleotide sequencing	environmental gene survey	1	cellular organisms	spaceflight
OSD-67	1	08-Jul-2016	2016	Illumina	nucleotide sequencing	genome sequencing	6	Acinetobacter pittii;Enterobacter;Klebsiella;Pantoea conspicua;Staphylococcus;Staphylococcus aureus	Microgravity
OSD-68	1	08-Jul-2016	2016	Illumina	nucleotide sequencing	genome sequencing	1	Aspergillus fumigatus	spaceflight
OSD-69	1	07-Jul-2016	2016	Illumina	nucleotide sequencing	metagenome profiling	1	cellular organisms	Spaceflight;Treatment
OSD-70	1	26-Jun-2013	2013	Affymetrix	DNA microarray	transcription profiling	1	Drosophila melanogaster	Altered Gravity;Altered Gravity Simulator;Temperature;O2 Level
OSD-71	1	01-Jan-2016	2016	Affymetrix	DNA microarray	transcription profiling	1	Homo sapiens	Ionizing Radiation;Absorbed Radiation Dose
OSD-72	1	30-Nov-2015	2015	Roche	amplicon sequencing assay	metagenome profiling	1	Microbiota	Ionizing Radiation;Diet;Microgravity Simulation;Spaceflight
OSD-73	1	07-May-2014	2014	Illumina	DNA microarray	transcription profiling	1	Homo sapiens	radiation type;radiation dose;post radiation timepoint
OSD-74	1	10-Oct-2014	2014	Affymetrix	DNA microarray	transcription profiling	1	Mus musculus	ionizing radiation;absorbed radiation dose
OSD-75	1	16-Feb-2011	2011	Filgen	DNA microarray	transcription profiling	1	Caenorhabditis elegans	Gravity;timepoint
OSD-76	1	15-Feb-2016	2016	Agilent	DNA microarray	transcription profiling	1	Danio rerio	stress
OSD-78	1	08-Nov-2008	2008	Affymetrix	DNA microarray	transcription profiling	1	Homo sapiens	Ionizing Radiation;Treatment
OSD-79	1	04-Apr-2013	2013	Affymetrix	DNA microarray	transcription profiling	1	Mus musculus	variation
OSD-80	1	30-Nov-2013	2013	Affymetrix	DNA microarray	transcription profiling	1	Mus musculus	Ionizing Radiation;Time;Dose
OSD-81	1	14-Mar-2014	2014	Agilent	DNA microarray	transcription profiling	1	Bacillus subtilis	strain;pressure
OSD-82	1	01-APR-2016	2016	Roche GS FLX	nucleotide sequencing	metagenome profiling	1	cellular organisms	collection set;location
OSD-83	1	15-Oct-2015	2015	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Oryzias latipes	Spaceflight;Tissue
OSD-84	3	26-Oct-2016	2016	Oxford Nanopore Technologies	nucleotide sequencing	genome sequencing	4	;Enterobacteria phage lambda;Escherichia coli;Mus musculus	Microgravity
OSD-84	3	26-Oct-2016	2016	Illumina	nucleotide sequencing	genome sequencing	4	;Enterobacteria phage lambda;Escherichia coli;Mus musculus	Microgravity
OSD-84	3	26-Oct-2016	2016	Pacific Biosciences	nucleotide sequencing	genome sequencing	4	;Enterobacteria phage lambda;Escherichia coli;Mus musculus	Microgravity
OSD-85	1	19-Sep-2016	2016	Illumina HiSeq 2000	RNA Sequencing (RNA-Seq)	transcription profiling	1	Drosophila melanogaster	Hypergravity
OSD-86	1	02-Feb-2016	2016	Illumina	nucleotide sequencing	DNA methylation profiling	1	Homo sapiens	Microgravity Simulation
OSD-87	1	16-Dec-2016	2016	Affymetrix	DNA microarray	transcription profiling	1	Mus musculus	Spaceflight;Cosmic Radiation
OSD-88	1	13-Jun-2013	2013		DNA microarray	transcription profiling	1	Mus musculus	Age;Irradiation
OSD-89	1	22-Jun-2015	2015	Illumina	DNA microarray	transcription profiling	1	Mus musculus	Age;Irradiation
OSD-90	1	16-DEC-2016	2016	Illumina	nucleotide sequencing	transcription profiling	1	Mycobacterium marinum	Simulated Microgravity;Timepoint
OSD-91	1	02-Feb-2016	2016	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Homo sapiens	Microgravity Simulation
OSD-92	1	01-Jul-2011	2011	Agilent	DNA microarray	transcription profiling	1	Homo sapiens	Radiation;Timepoint
OSD-93	1	26-Feb-2014	2014		DNA microarray	transcription profiling	1	Mus musculus	mouse strain;ionizing radiation
OSD-94	1	05-Oct-2012	2012		DNA microarray	copy number variation profiling	1		ionizing radiation;Neoplasm
OSD-95	1	15-NOV-2016	2016	Illumina	nucleotide sequencing	transcription profiling	1	Escherichia coli	Microgravity;Antibiotic concentration
OSD-96	1	19-Oct-2016	2016	Illumina MiSeq	RNA Sequencing (RNA-Seq)	transcription profiling	1	Drosophila melanogaster	Spaceflight;Generation;Time
OSD-97	1	01-Nov-2007	2007	Hitachisoft Hypergene Yeast Chip Ver. 2.0	DNA microarray	transcription profiling	1	Saccharomyces cerevisiae	Radiation, Ionzing
OSD-98	3	28-Feb-2017	2017	LTQ Orbitrap Fusion (Thermo Scientific)	mass spectrometry	protein expression profiling	2	Mus musculus;Not Applicable	Spaceflight
OSD-98	3	28-Feb-2017	2017	Illumina	nucleotide sequencing	DNA methylation profiling	2	Mus musculus;Not Applicable	Spaceflight
OSD-98	3	28-Feb-2017	2017	Illumina HiSeq 4000	RNA Sequencing (RNA-Seq)	transcription profiling	2	Mus musculus;Not Applicable	Spaceflight
OSD-99	2	28-Feb-2017	2017	Illumina	nucleotide sequencing	DNA methylation profiling	1	Mus musculus	Spaceflight
OSD-99	2	28-Feb-2017	2017	Illumina HiSeq 4000	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight
OSD-100	2	28-Feb-2017	2017	Illumina	Whole Genome Bisulfite Sequencing	DNA methylation profiling	1	Mus musculus	Spaceflight
OSD-100	2	28-Feb-2017	2017	Illumina HiSeq 4000	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight
OSD-101	4	28-Feb-2017	2017	LTQ Orbitrap Fusion (Thermo Scientific)	mass spectrometry	protein expression profiling	1	Mus musculus	Spaceflight
OSD-101	4	28-Feb-2017	2017	Illumina	nucleotide sequencing	RNA methylation profiling	1	Mus musculus	Spaceflight
OSD-101	4	28-Feb-2017	2017	Illumina	nucleotide sequencing	DNA methylation profiling	1	Mus musculus	Spaceflight
OSD-101	4	28-Feb-2017	2017	Illumina HiSeq 4000	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight
OSD-102	4	28-Feb-2017	2017	LTQ Orbitrap Fusion (Thermo Scientific)	mass spectrometry	protein expression profiling	2	Mus musculus;Not Applicable	Spaceflight
OSD-102	4	28-Feb-2017	2017	Illumina	nucleotide sequencing	DNA methylation profiling	2	Mus musculus;Not Applicable	Spaceflight
OSD-102	4	28-Feb-2017	2017	Illumina HiSeq 4000	RNA Sequencing (RNA-Seq)	transcription profiling	2	Mus musculus;Not Applicable	Spaceflight
OSD-102	4	28-Feb-2017	2017	Illumina	nucleotide sequencing	RNA methylation profiling	2	Mus musculus;Not Applicable	Spaceflight
OSD-103	4	28-Feb-2017	2017	LTQ Orbitrap Fusion (Thermo Scientific)	mass spectrometry	protein expression profiling	1	Mus musculus	Spaceflight
OSD-103	4	28-Feb-2017	2017	Illumina	Whole Transcriptome Bisulfite Sequencing	RNA methylation profiling	1	Mus musculus	Spaceflight
OSD-103	4	28-Feb-2017	2017	Illumina	Whole Genome Bisulfite Sequencing	DNA methylation profiling	1	Mus musculus	Spaceflight
OSD-103	4	28-Feb-2017	2017	Illumina HiSeq 4000	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight
OSD-104	2	28-Feb-2017	2017	Illumina	nucleotide sequencing	DNA methylation profiling	1	Mus musculus	Spaceflight
OSD-104	2	28-Feb-2017	2017	Illumina HiSeq 4000	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight
OSD-105	4	28-Feb-2017	2017	LTQ Orbitrap Fusion (Thermo Scientific)	mass spectrometry	protein expression profiling	1	Mus musculus	Spaceflight
OSD-105	4	28-Feb-2017	2017	Illumina	nucleotide sequencing	RNA methylation profiling	1	Mus musculus	Spaceflight
OSD-105	4	28-Feb-2017	2017	Illumina	nucleotide sequencing	DNA methylation profiling	1	Mus musculus	Spaceflight
OSD-105	4	28-Feb-2017	2017	Illumina HiSeq 4000	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight
OSD-106	1	01-Mar-2017	2017	Illumina HiSeq 2500	nucleotide sequencing	transcription profiling	1	Streptococcus mutans	Weightlessness Simulation
OSD-107	1	09-Aug-2016	2016	Illumina MouseRef-8 v2.0 Expression BeadChip	DNA microarray	transcription profiling	1	Mus musculus	treatment;genotype
OSD-108	1	28-Apr-2017	2017	Thermo-Finnigan Mass Spectrometer	mass spectrometry	metabolite profiling	1	Mus musculus	Spaceflight;Absorbed Radiation Dose
OSD-109	1	1-Jan-16	2016	Affymetrix	DNA microarray	transcription profiling	1	Mus musculus	Time;Ionizing Radiation
OSD-110	2	08-Sep-2015	2015	LTQ Orbitrap	gel electrophoresis	protein expression profiling	1	Daphnia magna	Weightlessness Simulation
OSD-110	2	08-Sep-2015	2015	LTQ Orbitrap Classic (Thermo Scientific)	mass spectrometry	protein identification	1	Daphnia magna	Weightlessness Simulation
OSD-111	1	15-Jan-2017	2017	Affymetrix	DNA microarray	transcription profiling	1	Mus musculus	Spaceflight;Cosmic Radiation;Tissue
OSD-112	1	31-Aug-2016	2016	Agilent	DNA microarray	transcription profiling	1	Caenorhabditis elegans	Microgravity
OSD-113	1	31-Aug-2016	2016	Agilent	DNA microarray	transcription profiling	1	Caenorhabditis elegans	Spaceflight
OSD-114	1	20-Jan-2017	2017	Agilent	DNA microarray	transcription profiling	1	Homo sapiens	Microgravity;Bleomycin Treatment
OSD-115	1	20-Jun-2010	2010	NIA MGC, Mammalian Genome Collection	DNA microarray	transcription profiling	1	Homo sapiens	Irradiation;Timepoint
OSD-116	2	28-Apr-2017	2017	Thermo-Finnigan Mass Spectrometer	mass spectrometry	metabolite profiling	1	Mus musculus	Spaceflight;Absorbed Radiation Dose
OSD-116	2	28-Apr-2017	2017	RT2 ProfilerTM PCR Array	DNA microarray	transcription profiling	1	Mus musculus	Spaceflight;Absorbed Radiation Dose
OSD-117	1	1-Jan-16	2016	Affymetrix	DNA microarray	transcription profiling	1	Mus musculus	Time;Ionizing Radiation
OSD-118	2	28-Apr-2017	2017	Exiqon	DNA microarray	transcription profiling	1	Homo sapiens	Spaceflight;Time
OSD-118	2	28-Apr-2017	2017	Illumina	DNA microarray	transcription profiling	1	Homo sapiens	Spaceflight;Time
OSD-119	1	28-Apr-2017	2017	Illumina	nucleotide sequencing	transcription profiling	1	Euprymna scolopes	Simulated Microgravity
OSD-120	2	08-Jun-2017	2017	Illumina	RNA Sequencing (RNA-Seq)	transcription profiling	1	Arabidopsis thaliana	Ecotype;Spaceflight;Treatment
OSD-120	2	08-Jun-2017	2017	CARA	Photography	Image Analysis	1	Arabidopsis thaliana	Ecotype;Spaceflight;Treatment
OSD-121	1	08-Jun-2017	2017	Affymetrix	DNA microarray	transcription profiling	1	Arabidopsis thaliana	Spaceflight;Cosmic Radiation
OSD-122	1	30-Jun-2017	2017	SYNAPT G2 HDMS (Waters)	mass spectrometry	protein expression profiling	1	Rattus norvegicus	Simulated Microgravity;Timepoint
OSD-123	1	27-Feb-2015	2015	Agilent	DNA microarray	transcription profiling	1	Danio rerio	Hypergravity
OSD-124	1	31-Dec-2015	2015	Affymetrix	DNA microarray	transcription profiling	1	Homo sapiens	Electromagnetic Fields
OSD-125	1	07-Feb-2017	2017	Affymetrix	DNA microarray	transcription profiling	1	Homo sapiens	Microgravity Simulation;Cell Line
OSD-126	1	08-Dec-2016	2016	Illumina	nucleotide sequencing	metagenome profiling	1	cellular organisms	Spaceflight;Sample Location;Treatment
OSD-127	1	08-Aug-2016	2016	Illumina HiSeq1000	RNA Sequencing (RNA-Seq)	transcription profiling	1	Homo sapiens	Microgravity Simulation
OSD-128	1	29-Apr-2012	2012	Agilent	DNA microarray	transcription profiling	1	Homo sapiens	Simulated Microgravity;Ionizing Radiation;Timepoint
OSD-129	1	10-Apr-2012	2012	Agilent	DNA microarray	transcription profiling	1	Homo sapiens	Ionizing Radiation;Simulated Microgravity
OSD-130	1	18-Feb-2017	2017	Illumina HumanHT-12 V4.0 expression beadchip	DNA microarray	transcription profiling	1	Homo sapiens	Ionizing Radiation;Time of Sample Collection After Treatment;Genotype
OSD-131	1	01-Jan-2014	2014	Agilent	DNA microarray	transcription profiling	1	Mus musculus	Ionzing Radiation;Age
OSD-132	1	13-Apr-2017	2017	Illumina	nucleotide sequencing	genome sequencing	8	Aspergillus niger;Aspergillus terreus;Aureobasidium pullulans;Beauveria bassiana;Cladosporium cladosporioides;Cladosporium sphaerospermum;Fusarium solani;Trichoderma virens	radiation
OSD-133	1	01-Mar-2017	2017	Illumina	nucleotide sequencing	transcription profiling	1	Oryzias latipes	Microgravity;Timepoint
OSD-134	1	11-May-2017	2017	Affymetrix	DNA microarray	transcription profiling	1	Arabidopsis thaliana	Atmospheric Pressure;Organism Part
OSD-135	1	23-May-2017	2017	Affymetrix	DNA microarray	transcription profiling	1	Mus musculus	Spaceflight;Cosmic Radiation;Tissue
OSD-136	1	11-May-2017	2017	Affymetrix	DNA microarray	transcription profiling	1	Arabidopsis thaliana	Atmospheric Pressure
OSD-137	4	28-Aug-2017	2017	LTQ Orbitrap Velos (Thermo Scientific)	mass spectrometry	protein expression profiling	1	Mus musculus	Spaceflight
OSD-137	4	28-Aug-2017	2017	Illumina	Whole Genome Bisulfite Sequencing	DNA methylation profiling	1	Mus musculus	Spaceflight
OSD-137	4	28-Aug-2017	2017	Illumina HiSeq 4000	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Spaceflight
OSD-137	4	28-Aug-2017	2017	pannoramic scan (3d histech)	Microscopy	Molecular Cellular Imaging	1	Mus musculus	Spaceflight
OSD-138	4	28-Aug-2017	2017	LTQ Orbitrap Fusion (Thermo Scientific)	mass spectrometry	protein expression profiling	1	Bacillus subtilis	Spaceflight;Freezing
OSD-138	4	28-Aug-2017	2017	6530 Q-TOF LC/MS (Agilent)	mass spectrometry	metabolite profiling	1	Bacillus subtilis	Spaceflight;Freezing
OSD-138	4	28-Aug-2017	2017	Leco Pegasus TOF	mass spectrometry	metabolite profiling	1	Bacillus subtilis	Spaceflight;Freezing
OSD-138	4	28-Aug-2017	2017	Illumina HiSeq 4000	RNA Sequencing (RNA-Seq)	transcription profiling	1	Bacillus subtilis	Spaceflight;Freezing
OSD-139	1	14-Jun-2017	2017	Q-Exactive plus	mass spectrometry	protein expression profiling	1	Mus musculus	Weightlessness;Muscle, Skeletal;Absorbed Radiation Dose
OSD-140	1	14-Jan-2015	2015		DNA microarray	DNA methylation profiling	1	Homo sapiens	time
OSD-141	1	31-Aug-2017	2017	Illumina MiSeq	RNA Sequencing (RNA-Seq)	transcription profiling	1	Mus musculus	Sample Collection Protocol;Library Construction Protocol
OSD-144	1	23-Aug-2014	2014	Nimblegen	DNA microarray	transcription profiling	1	Arabidopsis thaliana	Cell cycle phase;Microgravity Simulation
OSD-145	4	14-Nov-2017	2017	LTQ Orbitrap Fusion (Thermo Scientific)	mass spectrometry	protein expression profiling	1	Staphylococcus aureus	Spaceflight;Freezing
OSD-145	4	14-Nov-2017	2017	6530 Q-TOF LC/MS (Agilent)	mass spectrometry	metabolite profiling	1	Staphylococcus aureus	Spaceflight;Freezing
OSD-145	4	14-Nov-2017	2017	Leco Pegasus TOF	mass spectrometry	metabolite profiling	1	Staphylococcus aureus	Spaceflight;Freezing
OSD-145	4	14-Nov-2017	2017	Illumina HiSeq 4000	RNA Sequencing (RNA-Seq)	transcription profiling	1	Staphylococcus aureus	Spaceflight;Freezing
OSD-146	1	15-Oct-2017	2017	Illumina	nucleotide sequencing	metagenome profiling	1	Microbiota	Ionizing Radiation;Dose;Time of Sample Collection After Treatment
OSD-147	1	01-Sep-2017	2017	Affymetrix	DNA microarray	transcription profiling	1	Arabidopsis thaliana	Spaceflight;Genotype
OSD-148	1	22-Sep-2014	2014	Illumina	DNA microarray	transcription profiling	1	Mus musculus	Sex;Ionizing Radiation;Fractionated Dose
OSD-149	1	26-Jul-2011	2011	Illumina	DNA microarray	transcription profiling	1	Homo sapiens	Culture Condition;Ionizing Radiation
OSD-151	1	30-Aug-2011	2011	Agilent	DNA microarray	transcription profiling	1	Homo sapiens	Ionizing Radiation;Radiation Dose;Radiation Distance
OSD-152	1	18-Oct-2008	2008	Agilent	DNA microarray	transcription profiling	1	Homo Sapiens	Time of Sample Collection After Treatment;Ionizing Radiation;Absorbed Radiation Dose
OSD-153	1	27-Aug-2020	2020	Affymetrix	DNA microarray	transcription profiling	1	Mus musculus	Genotype;Ionizing Radiation;Time
OSD-154	1	30-Jul-2010	2010	Affymetrix	DNA microarray	transcription profiling	1	Homo sapiens	Absorbed Radiation Dose;Cell Line;Ionizing Radiation
OSD-155	1	19-Mar-2011	2011	Agilent	DNA microarray	transcription profiling	1	Homo sapiens	Donor;Radiation Dose;Smoking Status;Age;Gender;Ionizing Radiation
OSD-156	1	31-May-2012	2012	Agilent	DNA microarray	transcription profiling	1	Mus musculus	Ionizing Radiation;Dose
OSD-157	1	11-Sep-2013	2013	Agilent	DNA microarray	transcription profiling	1	Homo sapiens	Ionizing Radiation;Timepoint;Age;Sex;Dose
OSD-158	1	01-May-2014	2014	Agilent	DNA microarray	transcription profiling	1	Mus musculus	Ionizing Radiation;Dose
OSD-159	1	31-Aug-2014	2014	Agilent	DNA microarray	transcription profiling	1	Mus musculus	Ionizing Radiation;Dose
OSD-160	1	12-Apr-2015	2015	Affymetrix	DNA microarray	transcription profiling	1	Mus musculus	Ionizing Radiation;Treatment
